Driver_ID,Driver_Name,Age,Experience_Years,Region,Safety_Score,Safety_Category
903479,Driver_3478,43,1,South,54.4,Low
903480,Driver_3479,42,17,Central,55.0,Low
903481,Driver_3480,40,10,Central,66.0,Average
903482,Driver_3481,46,16,North,99.2,Excellent
903483,Driver_3482,61,16,East,55.3,Low
903484,Driver_3483,22,26,East,99.3,Excellent
903485,Driver_3484,56,29,Central,68.3,Average
903486,Driver_3485,48,11,South,67.3,Average
903487,Driver_3486,31,18,North,67.7,Average
903488,Driver_3487,27,8,South,76.5,Good
903489,Driver_3488,38,6,North,97.5,Excellent
903490,Driver_3489,56,0,North,63.4,Average
903491,Driver_3490,51,8,South,63.1,Average
903492,Driver_3491,42,26,North,51.6,Low
903493,Driver_3492,38,12,North,94.1,Excellent
903494,Driver_3493,63,23,North,86.3,Good
903495,Driver_3494,47,14,East,77.2,Good
903496,Driver_3495,53,29,West,91.9,Excellent
903497,Driver_3496,35,12,East,78.5,Good
903498,Driver_3497,26,8,East,52.2,Low
903499,Driver_3498,34,23,West,75.1,Good
903500,Driver_3499,52,27,Central,92.7,Excellent
903501,Driver_3500,36,23,West,79.7,Good
903502,Driver_3501,59,23,West,60.6,Average
903503,Driver_3502,38,5,North,74.4,Average
903504,Driver_3503,36,19,South,82.3,Good
903505,Driver_3504,45,17,Central,57.9,Low
903506,Driver_3505,62,8,West,70.1,Average
903507,Driver_3506,41,16,South,95.7,Excellent
903508,Driver_3507,32,14,East,58.5,Low
903509,Driver_3508,40,16,East,53.1,Low
903510,Driver_3509,32,8,North,57.4,Low
903511,Driver_3510,58,23,West,58.4,Low
903512,Driver_3511,27,12,Central,78.3,Good
903513,Driver_3512,54,4,North,78.8,Good
903514,Driver_3513,51,16,South,74.3,Average
903515,Driver_3514,61,6,West,57.9,Low
903516,Driver_3515,53,29,North,97.3,Excellent
903517,Driver_3516,41,3,South,53.4,Low
903518,Driver_3517,58,8,East,85.8,Good
903519,Driver_3518,43,28,West,54.8,Low
903520,Driver_3519,30,8,South,65.4,Average
903521,Driver_3520,39,15,South,74.4,Average
903522,Driver_3521,59,14,South,92.0,Excellent
903523,Driver_3522,49,4,South,76.8,Good
903524,Driver_3523,26,20,West,69.0,Average
903525,Driver_3524,58,4,East,66.7,Average
903526,Driver_3525,26,23,East,75.2,Good
903527,Driver_3526,42,24,North,67.4,Average
903528,Driver_3527,37,22,North,61.9,Average
903529,Driver_3528,24,10,North,64.6,Average
903530,Driver_3529,38,4,West,85.1,Good
903531,Driver_3530,37,19,South,91.0,Excellent
903532,Driver_3531,44,13,East,91.6,Excellent
903533,Driver_3532,49,2,Central,50.3,Low
903534,Driver_3533,28,8,Central,83.7,Good
903535,Driver_3534,27,2,South,60.3,Average
903536,Driver_3535,29,7,Central,73.8,Average
903537,Driver_3536,40,8,North,59.2,Low
903538,Driver_3537,41,18,South,55.8,Low
903539,Driver_3538,38,2,West,68.3,Average
903540,Driver_3539,42,17,East,82.2,Good
903541,Driver_3540,63,24,East,55.4,Low
903542,Driver_3541,50,20,South,54.3,Low
903543,Driver_3542,46,4,Central,80.8,Good
903544,Driver_3543,27,28,West,85.9,Good
903545,Driver_3544,28,18,North,85.6,Good
903546,Driver_3545,31,23,South,97.8,Excellent
903547,Driver_3546,32,25,Central,82.9,Good
903548,Driver_3547,55,25,West,68.5,Average
903549,Driver_3548,51,10,North,62.2,Average
903550,Driver_3549,34,14,Central,81.3,Good
903551,Driver_3550,51,24,South,50.0,Low
903552,Driver_3551,53,16,West,59.5,Low
903553,Driver_3552,63,13,North,86.9,Good
903554,Driver_3553,56,1,South,87.7,Good
903555,Driver_3554,28,2,East,63.0,Average
903556,Driver_3555,35,18,East,54.3,Low
903557,Driver_3556,48,0,East,79.3,Good
903558,Driver_3557,36,7,Central,83.2,Good
903559,Driver_3558,35,12,North,50.3,Low
903560,Driver_3559,53,1,West,72.7,Average
903561,Driver_3560,32,18,Central,92.1,Excellent
903562,Driver_3561,61,9,North,50.9,Low
903563,Driver_3562,23,26,North,69.4,Average
903564,Driver_3563,52,23,West,98.2,Excellent
903565,Driver_3564,35,15,South,86.1,Good
903566,Driver_3565,54,8,East,57.1,Low
903567,Driver_3566,58,16,Central,65.3,Average
903568,Driver_3567,29,21,South,72.6,Average
903569,Driver_3568,42,22,South,81.9,Good
903570,Driver_3569,45,30,North,91.7,Excellent
903571,Driver_3570,46,24,West,68.7,Average
903572,Driver_3571,34,17,North,67.9,Average
903573,Driver_3572,33,1,North,93.9,Excellent
903574,Driver_3573,45,6,South,52.0,Low
903575,Driver_3574,22,27,West,74.4,Average
903576,Driver_3575,46,1,North,83.7,Good
903577,Driver_3576,61,11,North,60.1,Average
903578,Driver_3577,23,29,East,67.3,Average
903579,Driver_3578,42,7,North,52.4,Low
903580,Driver_3579,50,7,East,94.9,Excellent
903581,Driver_3580,63,6,Central,63.7,Average
903582,Driver_3581,62,3,Central,66.2,Average
903583,Driver_3582,36,10,Central,60.0,Low
903584,Driver_3583,38,30,North,72.2,Average
903585,Driver_3584,23,25,West,91.4,Excellent
903586,Driver_3585,30,23,Central,89.5,Good
903587,Driver_3586,59,1,North,77.9,Good
903588,Driver_3587,27,30,West,61.1,Average
903589,Driver_3588,26,6,North,50.3,Low
903590,Driver_3589,60,29,East,81.1,Good
903591,Driver_3590,60,10,North,52.9,Low
903592,Driver_3591,61,27,North,70.6,Average
903593,Driver_3592,55,4,North,63.8,Average
903594,Driver_3593,36,29,North,55.1,Low
903595,Driver_3594,50,25,Central,50.3,Low
903596,Driver_3595,33,17,South,75.9,Good
903597,Driver_3596,29,19,South,87.0,Good
903598,Driver_3597,50,13,North,66.6,Average
903599,Driver_3598,40,0,Central,90.5,Excellent
903600,Driver_3599,23,11,East,81.8,Good
903601,Driver_3600,51,29,South,89.6,Good
903602,Driver_3601,30,0,East,76.3,Good
903603,Driver_3602,30,4,Central,64.6,Average
903604,Driver_3603,55,20,Central,54.0,Low
903605,Driver_3604,63,30,West,67.4,Average
903606,Driver_3605,59,26,Central,55.2,Low
903607,Driver_3606,32,27,Central,97.4,Excellent
903608,Driver_3607,50,23,South,87.7,Good
903609,Driver_3608,56,20,Central,65.6,Average
903610,Driver_3609,63,3,East,74.8,Average
903611,Driver_3610,58,22,East,86.7,Good
903612,Driver_3611,31,30,North,65.7,Average
903613,Driver_3612,34,2,West,63.4,Average
903614,Driver_3613,39,10,North,82.3,Good
903615,Driver_3614,50,16,Central,60.2,Average
903616,Driver_3615,43,12,North,64.8,Average
903617,Driver_3616,57,16,Central,82.0,Good
903618,Driver_3617,28,10,East,81.7,Good
903619,Driver_3618,26,12,East,53.6,Low
903620,Driver_3619,56,12,North,50.5,Low
903621,Driver_3620,56,4,North,81.6,Good
903622,Driver_3621,40,29,Central,71.9,Average
903623,Driver_3622,35,10,South,94.1,Excellent
903624,Driver_3623,48,16,Central,88.7,Good
903625,Driver_3624,39,13,West,85.9,Good
903626,Driver_3625,47,1,West,77.5,Good
903627,Driver_3626,22,25,East,86.5,Good
903628,Driver_3627,36,21,West,74.3,Average
903629,Driver_3628,36,24,North,76.4,Good
903630,Driver_3629,46,25,South,90.5,Excellent
903631,Driver_3630,49,30,South,93.3,Excellent
903632,Driver_3631,31,19,East,99.1,Excellent
903633,Driver_3632,42,18,West,75.8,Good
903634,Driver_3633,53,22,North,90.7,Excellent
903635,Driver_3634,29,7,North,82.9,Good
903636,Driver_3635,42,1,North,89.9,Good
903637,Driver_3636,49,12,North,84.9,Good
903638,Driver_3637,57,22,North,70.6,Average
903639,Driver_3638,40,18,East,80.0,Good
903640,Driver_3639,57,26,South,87.5,Good
903641,Driver_3640,26,6,Central,68.9,Average
903642,Driver_3641,41,18,South,82.2,Good
903643,Driver_3642,35,12,South,61.1,Average
903644,Driver_3643,45,9,East,75.3,Good
903645,Driver_3644,49,16,Central,87.9,Good
903646,Driver_3645,44,17,South,53.4,Low
903647,Driver_3646,42,18,West,55.4,Low
903648,Driver_3647,35,5,East,99.3,Excellent
903649,Driver_3648,59,8,East,59.1,Low
903650,Driver_3649,35,1,South,57.7,Low
903651,Driver_3650,49,0,South,83.3,Good
903652,Driver_3651,35,3,Central,85.2,Good
903653,Driver_3652,63,14,West,72.7,Average
903654,Driver_3653,50,29,West,78.9,Good
903655,Driver_3654,37,14,West,90.3,Excellent
903656,Driver_3655,55,13,North,80.5,Good
903657,Driver_3656,57,30,Central,82.2,Good
903658,Driver_3657,62,14,South,56.4,Low
903659,Driver_3658,38,22,East,68.8,Average
903660,Driver_3659,34,22,Central,73.5,Average
903661,Driver_3660,32,30,Central,84.3,Good
903662,Driver_3661,55,18,North,69.6,Average
903663,Driver_3662,27,1,North,87.9,Good
903664,Driver_3663,41,27,North,79.2,Good
903665,Driver_3664,40,17,North,82.2,Good
903666,Driver_3665,26,27,North,54.9,Low
903667,Driver_3666,31,30,East,76.7,Good
903668,Driver_3667,55,10,Central,73.6,Average
903669,Driver_3668,47,24,Central,62.4,Average
903670,Driver_3669,56,14,North,95.4,Excellent
903671,Driver_3670,47,20,South,93.5,Excellent
903672,Driver_3671,22,2,South,52.2,Low
903673,Driver_3672,61,30,Central,58.2,Low
903674,Driver_3673,52,24,Central,72.7,Average
903675,Driver_3674,51,22,East,93.3,Excellent
903676,Driver_3675,56,17,North,97.6,Excellent
903677,Driver_3676,30,11,South,50.0,Low
903678,Driver_3677,22,3,Central,82.2,Good
903679,Driver_3678,28,26,West,73.2,Average
903680,Driver_3679,55,5,Central,60.2,Average
903681,Driver_3680,50,10,Central,68.3,Average
903682,Driver_3681,23,10,Central,67.9,Average
903683,Driver_3682,31,28,East,93.8,Excellent
903684,Driver_3683,47,3,South,92.1,Excellent
903685,Driver_3684,35,12,West,87.0,Good
903686,Driver_3685,53,15,Central,92.1,Excellent
903687,Driver_3686,47,2,South,87.7,Good
903688,Driver_3687,48,13,North,79.5,Good
903689,Driver_3688,47,23,East,94.1,Excellent
903690,Driver_3689,51,19,South,87.1,Good
903691,Driver_3690,33,26,West,63.5,Average
903692,Driver_3691,39,18,South,73.2,Average
903693,Driver_3692,55,28,North,52.1,Low
903694,Driver_3693,35,26,North,78.8,Good
903695,Driver_3694,49,20,South,85.0,Good
903696,Driver_3695,32,18,West,99.8,Excellent
903697,Driver_3696,45,11,Central,96.1,Excellent
903698,Driver_3697,46,25,Central,79.8,Good
903699,Driver_3698,35,7,West,89.9,Good
903700,Driver_3699,42,13,West,71.9,Average
903701,Driver_3700,36,1,North,58.0,Low
903702,Driver_3701,38,1,North,66.8,Average
903703,Driver_3702,27,23,North,63.8,Average
903704,Driver_3703,36,20,North,97.2,Excellent
903705,Driver_3704,50,24,West,69.7,Average
903706,Driver_3705,49,0,West,68.5,Average
903707,Driver_3706,61,28,South,84.2,Good
903708,Driver_3707,33,2,East,55.9,Low
903709,Driver_3708,27,16,North,89.1,Good
903710,Driver_3709,59,26,Central,86.8,Good
903711,Driver_3710,37,12,Central,51.3,Low
903712,Driver_3711,29,14,South,99.8,Excellent
903713,Driver_3712,28,21,East,70.6,Average
903714,Driver_3713,60,7,Central,71.8,Average
903715,Driver_3714,53,13,Central,92.5,Excellent
903716,Driver_3715,61,13,South,82.8,Good
903717,Driver_3716,47,16,Central,76.6,Good
903718,Driver_3717,22,13,West,54.3,Low
903719,Driver_3718,26,18,South,60.0,Low
903720,Driver_3719,61,6,North,70.0,Average
903721,Driver_3720,63,14,East,65.9,Average
903722,Driver_3721,26,8,North,84.3,Good
903723,Driver_3722,26,2,North,84.8,Good
903724,Driver_3723,56,12,East,70.9,Average
903725,Driver_3724,33,5,West,91.9,Excellent
903726,Driver_3725,36,4,Central,78.8,Good
903727,Driver_3726,24,11,South,83.2,Good
903728,Driver_3727,48,19,North,76.7,Good
903729,Driver_3728,26,29,West,63.7,Average
903730,Driver_3729,40,18,Central,75.8,Good
903731,Driver_3730,37,4,South,86.3,Good
903732,Driver_3731,45,11,North,85.9,Good
903733,Driver_3732,31,19,North,70.4,Average
903734,Driver_3733,48,9,South,81.3,Good
903735,Driver_3734,49,11,South,58.5,Low
903736,Driver_3735,23,26,West,82.3,Good
903737,Driver_3736,41,27,Central,81.6,Good
903738,Driver_3737,49,10,West,92.9,Excellent
903739,Driver_3738,44,28,Central,88.2,Good
903740,Driver_3739,51,17,West,67.7,Average
903741,Driver_3740,61,0,Central,52.1,Low
903742,Driver_3741,58,3,South,50.1,Low
903743,Driver_3742,40,23,North,64.7,Average
903744,Driver_3743,56,15,West,62.5,Average
903745,Driver_3744,39,13,West,72.8,Average
903746,Driver_3745,30,24,North,84.6,Good
903747,Driver_3746,54,29,South,65.0,Average
903748,Driver_3747,26,15,East,65.4,Average
903749,Driver_3748,53,5,South,51.3,Low
903750,Driver_3749,30,4,West,80.3,Good
903751,Driver_3750,28,12,West,69.9,Average
903752,Driver_3751,46,27,Central,92.2,Excellent
903753,Driver_3752,59,5,East,100.0,Excellent
903754,Driver_3753,45,6,East,96.7,Excellent
903755,Driver_3754,43,2,Central,84.9,Good
903756,Driver_3755,42,22,South,58.1,Low
903757,Driver_3756,48,29,West,99.5,Excellent
903758,Driver_3757,30,19,West,51.0,Low
903759,Driver_3758,53,14,East,87.7,Good
903760,Driver_3759,44,18,South,84.5,Good
903761,Driver_3760,49,3,East,97.2,Excellent
903762,Driver_3761,60,27,North,67.7,Average
903763,Driver_3762,33,16,Central,52.8,Low
903764,Driver_3763,59,19,North,75.2,Good
903765,Driver_3764,56,5,North,81.6,Good
903766,Driver_3765,51,17,West,68.6,Average
903767,Driver_3766,47,1,East,98.1,Excellent
903768,Driver_3767,59,9,West,93.0,Excellent
903769,Driver_3768,46,11,South,70.7,Average
903770,Driver_3769,36,26,North,60.4,Average
903771,Driver_3770,31,23,South,87.3,Good
903772,Driver_3771,26,1,South,76.4,Good
903773,Driver_3772,45,23,Central,84.2,Good
903774,Driver_3773,39,24,Central,53.7,Low
903775,Driver_3774,38,11,South,68.2,Average
903776,Driver_3775,47,7,East,96.8,Excellent
903777,Driver_3776,37,12,East,68.5,Average
903778,Driver_3777,62,17,South,84.3,Good
903779,Driver_3778,23,22,West,58.0,Low
903780,Driver_3779,38,17,West,57.9,Low
903781,Driver_3780,33,4,West,73.8,Average
903782,Driver_3781,37,6,West,63.7,Average
903783,Driver_3782,22,8,South,89.0,Good
903784,Driver_3783,30,26,South,80.9,Good
903785,Driver_3784,50,2,South,55.1,Low
903786,Driver_3785,40,24,East,62.8,Average
903787,Driver_3786,21,21,Central,58.3,Low
903788,Driver_3787,21,30,North,50.2,Low
903789,Driver_3788,36,14,East,96.5,Excellent
903790,Driver_3789,34,12,West,94.2,Excellent
903791,Driver_3790,33,24,West,80.0,Good
903792,Driver_3791,22,5,West,59.3,Low
903793,Driver_3792,54,8,South,65.4,Average
903794,Driver_3793,30,15,East,51.2,Low
903795,Driver_3794,58,28,East,54.5,Low
903796,Driver_3795,50,9,North,68.2,Average
903797,Driver_3796,23,15,East,77.5,Good
903798,Driver_3797,22,16,Central,74.1,Average
903799,Driver_3798,58,30,East,80.4,Good
903800,Driver_3799,55,10,South,69.5,Average
903801,Driver_3800,31,17,East,76.6,Good
903802,Driver_3801,34,14,North,62.6,Average
903803,Driver_3802,42,11,North,65.8,Average
903804,Driver_3803,28,27,North,99.3,Excellent
903805,Driver_3804,49,7,East,73.1,Average
903806,Driver_3805,49,17,Central,84.7,Good
903807,Driver_3806,62,7,East,53.6,Low
903808,Driver_3807,54,2,West,80.0,Good
903809,Driver_3808,36,16,North,64.6,Average
903810,Driver_3809,52,13,West,84.3,Good
903811,Driver_3810,24,26,West,69.7,Average
903812,Driver_3811,37,28,East,70.6,Average
903813,Driver_3812,26,21,West,76.7,Good
903814,Driver_3813,24,7,East,62.7,Average
903815,Driver_3814,30,24,West,55.7,Low
903816,Driver_3815,46,12,Central,65.7,Average
903817,Driver_3816,60,5,Central,58.5,Low
903818,Driver_3817,22,7,West,87.3,Good
903819,Driver_3818,53,12,East,78.6,Good
903820,Driver_3819,27,6,South,61.0,Average
903821,Driver_3820,60,21,West,74.4,Average
903822,Driver_3821,42,30,Central,61.7,Average
903823,Driver_3822,39,0,West,86.8,Good
903824,Driver_3823,30,28,Central,61.4,Average
903825,Driver_3824,56,20,East,83.0,Good
903826,Driver_3825,49,13,Central,97.7,Excellent
903827,Driver_3826,59,16,South,91.4,Excellent
903828,Driver_3827,25,2,West,99.1,Excellent
903829,Driver_3828,23,21,Central,91.3,Excellent
903830,Driver_3829,57,30,South,57.4,Low
903831,Driver_3830,37,4,Central,52.3,Low
903832,Driver_3831,27,27,North,52.5,Low
903833,Driver_3832,57,14,East,96.7,Excellent
903834,Driver_3833,32,25,South,63.9,Average
903835,Driver_3834,52,21,Central,58.0,Low
903836,Driver_3835,28,1,East,97.5,Excellent
903837,Driver_3836,50,24,West,94.2,Excellent
903838,Driver_3837,40,23,North,89.7,Good
903839,Driver_3838,38,10,Central,53.8,Low
903840,Driver_3839,58,27,North,63.5,Average
903841,Driver_3840,58,3,North,97.3,Excellent
903842,Driver_3841,25,0,West,78.4,Good
903843,Driver_3842,41,27,North,60.9,Average
903844,Driver_3843,22,1,East,57.8,Low
903845,Driver_3844,29,15,South,50.3,Low
903846,Driver_3845,37,29,East,95.9,Excellent
903847,Driver_3846,50,13,East,53.1,Low
903848,Driver_3847,59,5,West,65.0,Average
903849,Driver_3848,24,26,North,75.6,Good
903850,Driver_3849,55,27,East,63.1,Average
903851,Driver_3850,56,23,North,50.6,Low
903852,Driver_3851,63,2,Central,92.3,Excellent
903853,Driver_3852,48,3,Central,58.6,Low
903854,Driver_3853,23,3,South,71.0,Average
903855,Driver_3854,23,12,Central,78.1,Good
903856,Driver_3855,29,21,East,50.7,Low
903857,Driver_3856,43,30,West,72.9,Average
903858,Driver_3857,28,25,East,74.4,Average
903859,Driver_3858,30,13,South,97.4,Excellent
903860,Driver_3859,58,19,East,91.3,Excellent
903861,Driver_3860,43,7,Central,67.4,Average
903862,Driver_3861,28,0,East,55.5,Low
903863,Driver_3862,39,29,West,51.4,Low
903864,Driver_3863,56,27,East,69.5,Average
903865,Driver_3864,52,4,Central,75.8,Good
903866,Driver_3865,60,23,East,87.6,Good
903867,Driver_3866,36,15,East,68.5,Average
903868,Driver_3867,57,2,East,91.4,Excellent
903869,Driver_3868,28,1,North,54.8,Low
903870,Driver_3869,34,16,West,74.1,Average
903871,Driver_3870,47,8,East,90.9,Excellent
903872,Driver_3871,63,21,Central,92.5,Excellent
903873,Driver_3872,24,19,West,80.3,Good
903874,Driver_3873,49,8,North,68.3,Average
903875,Driver_3874,48,14,East,89.1,Good
903876,Driver_3875,44,22,Central,83.2,Good
903877,Driver_3876,52,1,Central,86.2,Good
903878,Driver_3877,54,30,Central,77.9,Good
903879,Driver_3878,42,0,South,78.3,Good
903880,Driver_3879,33,5,East,81.1,Good
903881,Driver_3880,44,2,Central,52.4,Low
903882,Driver_3881,36,17,Central,94.4,Excellent
903883,Driver_3882,62,25,South,70.5,Average
903884,Driver_3883,44,13,West,92.6,Excellent
903885,Driver_3884,21,23,South,50.8,Low
903886,Driver_3885,51,18,West,68.6,Average
903887,Driver_3886,25,23,North,72.4,Average
903888,Driver_3887,21,30,Central,61.1,Average
903889,Driver_3888,48,10,West,83.5,Good
903890,Driver_3889,48,10,South,51.2,Low
903891,Driver_3890,29,12,West,92.1,Excellent
903892,Driver_3891,51,28,West,94.0,Excellent
903893,Driver_3892,30,4,South,96.7,Excellent
903894,Driver_3893,61,2,North,75.9,Good
903895,Driver_3894,28,18,Central,65.9,Average
903896,Driver_3895,34,5,Central,98.7,Excellent
903897,Driver_3896,44,13,North,70.3,Average
903898,Driver_3897,32,8,West,92.1,Excellent
903899,Driver_3898,25,28,Central,69.0,Average
903900,Driver_3899,22,19,Central,95.5,Excellent
903901,Driver_3900,42,5,East,59.1,Low
903902,Driver_3901,59,22,West,69.3,Average
903903,Driver_3902,31,15,West,84.9,Good
903904,Driver_3903,41,14,North,71.8,Average
903905,Driver_3904,29,29,South,66.5,Average
903906,Driver_3905,33,27,East,59.4,Low
903907,Driver_3906,45,1,Central,62.4,Average
903908,Driver_3907,24,5,West,69.6,Average
903909,Driver_3908,52,26,East,64.8,Average
903910,Driver_3909,34,1,North,73.1,Average
903911,Driver_3910,38,7,Central,72.1,Average
903912,Driver_3911,45,9,South,95.0,Excellent
903913,Driver_3912,43,1,West,71.1,Average
903914,Driver_3913,36,21,North,90.9,Excellent
903915,Driver_3914,29,5,East,55.1,Low
903916,Driver_3915,57,26,North,54.3,Low
903917,Driver_3916,37,26,West,69.3,Average
903918,Driver_3917,29,5,North,62.9,Average
903919,Driver_3918,31,21,North,75.1,Good
903920,Driver_3919,60,8,Central,96.7,Excellent
903921,Driver_3920,55,24,South,85.0,Good
903922,Driver_3921,57,19,North,87.4,Good
903923,Driver_3922,37,7,East,72.5,Average
903924,Driver_3923,60,10,West,64.3,Average
903925,Driver_3924,39,6,South,89.8,Good
903926,Driver_3925,24,11,North,68.2,Average
903927,Driver_3926,44,22,South,53.6,Low
903928,Driver_3927,62,16,Central,77.6,Good
903929,Driver_3928,52,26,North,76.2,Good
903930,Driver_3929,26,6,West,53.6,Low
903931,Driver_3930,23,15,East,77.6,Good
903932,Driver_3931,38,24,South,71.1,Average
903933,Driver_3932,44,5,South,62.8,Average
903934,Driver_3933,41,26,West,63.1,Average
903935,Driver_3934,61,13,Central,78.5,Good
903936,Driver_3935,37,0,North,99.8,Excellent
903937,Driver_3936,53,1,South,61.1,Average
903938,Driver_3937,47,11,North,59.1,Low
903939,Driver_3938,62,4,West,93.3,Excellent
903940,Driver_3939,31,8,West,98.6,Excellent
903941,Driver_3940,63,13,Central,90.5,Excellent
903942,Driver_3941,31,19,West,74.6,Average
903943,Driver_3942,29,22,South,58.7,Low
903944,Driver_3943,44,13,South,71.1,Average
903945,Driver_3944,54,3,East,67.0,Average
903946,Driver_3945,40,19,Central,98.0,Excellent
903947,Driver_3946,52,19,West,73.9,Average
903948,Driver_3947,47,20,Central,61.0,Average
903949,Driver_3948,46,28,North,94.6,Excellent
903950,Driver_3949,51,22,East,68.5,Average
903951,Driver_3950,35,26,Central,60.0,Low
903952,Driver_3951,43,30,Central,50.9,Low
903953,Driver_3952,54,5,West,99.0,Excellent
903954,Driver_3953,27,15,West,80.4,Good
903955,Driver_3954,54,12,East,57.3,Low
903956,Driver_3955,27,6,Central,51.9,Low
903957,Driver_3956,49,10,South,57.5,Low
903958,Driver_3957,47,13,Central,91.2,Excellent
903959,Driver_3958,27,30,South,96.7,Excellent
903960,Driver_3959,22,0,East,61.0,Average
903961,Driver_3960,63,19,Central,65.2,Average
903962,Driver_3961,50,4,East,51.8,Low
903963,Driver_3962,43,5,South,56.4,Low
903964,Driver_3963,47,30,East,64.1,Average
903965,Driver_3964,57,24,South,53.0,Low
903966,Driver_3965,23,15,East,53.7,Low
903967,Driver_3966,34,22,East,68.4,Average
903968,Driver_3967,63,7,South,86.2,Good
903969,Driver_3968,39,21,West,77.6,Good
903970,Driver_3969,55,4,Central,93.7,Excellent
903971,Driver_3970,36,10,West,91.6,Excellent
903972,Driver_3971,48,12,Central,85.0,Good
903973,Driver_3972,26,21,North,70.0,Average
903974,Driver_3973,59,1,South,99.2,Excellent
903975,Driver_3974,60,22,East,90.5,Excellent
903976,Driver_3975,37,16,Central,81.3,Good
903977,Driver_3976,47,15,West,67.0,Average
903978,Driver_3977,46,3,East,83.7,Good
903979,Driver_3978,59,8,West,57.0,Low
903980,Driver_3979,60,17,East,89.6,Good
903981,Driver_3980,41,24,North,63.6,Average
903982,Driver_3981,23,2,East,83.6,Good
903983,Driver_3982,50,29,West,92.7,Excellent
903984,Driver_3983,25,25,North,95.2,Excellent
903985,Driver_3984,34,27,North,77.9,Good
903986,Driver_3985,22,9,North,52.9,Low
903987,Driver_3986,51,11,West,58.7,Low
903988,Driver_3987,56,22,South,51.2,Low
903989,Driver_3988,44,26,South,78.9,Good
903990,Driver_3989,29,3,South,98.2,Excellent
903991,Driver_3990,57,30,South,57.6,Low
903992,Driver_3991,59,30,West,59.4,Low
903993,Driver_3992,52,4,West,56.7,Low
903994,Driver_3993,25,28,West,93.2,Excellent
903995,Driver_3994,22,7,South,82.3,Good
903996,Driver_3995,47,3,East,72.1,Average
903997,Driver_3996,33,16,West,80.8,Good
903998,Driver_3997,52,9,South,72.1,Average
903999,Driver_3998,37,0,South,57.3,Low
904000,Driver_3999,60,29,West,99.7,Excellent
904001,Driver_4000,59,27,West,84.0,Good
904002,Driver_4001,25,19,South,96.9,Excellent
904003,Driver_4002,25,12,Central,59.5,Low
904004,Driver_4003,35,19,North,57.7,Low
904005,Driver_4004,52,6,South,51.5,Low
904006,Driver_4005,56,4,East,67.3,Average
904007,Driver_4006,50,17,East,74.5,Average
904008,Driver_4007,48,20,East,78.3,Good
904009,Driver_4008,59,0,West,86.9,Good
904010,Driver_4009,42,20,East,96.7,Excellent
904011,Driver_4010,26,29,West,67.9,Average
904012,Driver_4011,32,23,East,96.3,Excellent
904013,Driver_4012,59,6,North,95.5,Excellent
904014,Driver_4013,45,13,East,83.9,Good
904015,Driver_4014,49,14,West,98.6,Excellent
904016,Driver_4015,57,18,East,58.1,Low
904017,Driver_4016,24,14,West,73.3,Average
904018,Driver_4017,25,13,West,86.8,Good
904019,Driver_4018,62,16,East,53.6,Low
904020,Driver_4019,26,18,North,94.2,Excellent
904021,Driver_4020,33,24,East,86.0,Good
904022,Driver_4021,54,1,Central,65.1,Average
904023,Driver_4022,47,16,East,56.2,Low
904024,Driver_4023,63,7,South,78.1,Good
904025,Driver_4024,60,14,West,79.2,Good
904026,Driver_4025,25,23,West,86.2,Good
904027,Driver_4026,46,10,East,76.4,Good
904028,Driver_4027,45,8,North,70.3,Average
904029,Driver_4028,48,30,Central,75.8,Good
904030,Driver_4029,63,10,Central,58.6,Low
904031,Driver_4030,36,21,East,69.1,Average
904032,Driver_4031,40,29,South,86.9,Good
904033,Driver_4032,40,29,Central,77.7,Good
904034,Driver_4033,38,23,West,78.0,Good
904035,Driver_4034,42,4,East,82.1,Good
904036,Driver_4035,39,21,South,95.0,Excellent
904037,Driver_4036,24,12,Central,73.4,Average
904038,Driver_4037,29,12,West,98.6,Excellent
904039,Driver_4038,61,13,South,61.9,Average
904040,Driver_4039,36,22,North,70.9,Average
904041,Driver_4040,52,29,West,75.3,Good
904042,Driver_4041,60,12,North,52.6,Low
904043,Driver_4042,53,22,East,62.6,Average
904044,Driver_4043,38,15,East,84.7,Good
904045,Driver_4044,22,30,South,83.7,Good
904046,Driver_4045,46,7,South,97.1,Excellent
904047,Driver_4046,29,22,East,72.2,Average
904048,Driver_4047,23,3,East,70.6,Average
904049,Driver_4048,32,12,North,70.4,Average
904050,Driver_4049,46,0,South,76.1,Good
904051,Driver_4050,26,18,West,87.8,Good
904052,Driver_4051,30,3,Central,84.9,Good
904053,Driver_4052,48,1,West,74.7,Average
904054,Driver_4053,40,29,West,96.9,Excellent
904055,Driver_4054,63,2,North,95.4,Excellent
904056,Driver_4055,42,13,North,85.2,Good
904057,Driver_4056,33,7,South,55.8,Low
904058,Driver_4057,38,14,South,92.9,Excellent
904059,Driver_4058,39,14,North,69.3,Average
904060,Driver_4059,26,11,North,86.4,Good
904061,Driver_4060,53,11,South,94.1,Excellent
904062,Driver_4061,63,11,East,71.9,Average
904063,Driver_4062,36,30,North,88.2,Good
904064,Driver_4063,61,30,Central,55.9,Low
904065,Driver_4064,59,14,Central,52.0,Low
904066,Driver_4065,40,8,South,73.1,Average
904067,Driver_4066,37,24,Central,71.1,Average
904068,Driver_4067,45,8,West,89.8,Good
904069,Driver_4068,51,21,North,54.6,Low
904070,Driver_4069,52,20,Central,89.4,Good
